userID	contactID	date_day	date_month	date_year	date_hour	date_minute	date_second
8	28371	4	10	2010	2	14	19
8	40306	3	10	2010	12	33	9
8	85279	2	10	2010	3	10	48
8	91764	4	10	2010	22	43	47
8	97723	12	10	2010	3	28	33
8	105468	11	10	2010	15	6	8
8	106690	30	9	2010	19	27	13
32	3203	13	8	2010	16	36	31
32	7978	26	7	2010	5	54	43
32	8670	14	8	2010	9	22	46
32	12847	14	9	2010	14	34	49
32	83734	21	7	2010	10	5	7
57	9145	23	6	2008	5	5	8
57	9152	3	8	2009	11	55	49
57	23849	28	7	2008	10	58	21
57	29455	21	6	2008	4	7	8
57	65215	30	6	2008	18	22	3
57	85166	16	7	2008	12	35	59
57	101198	28	6	2008	17	49	32
147	19354	11	10	2006	18	24	40
147	19622	10	9	2006	5	56	9
147	22728	24	11	2006	15	36	11
147	27421	25	9	2007	23	13	19
147	30118	3	7	2007	16	11	55
147	31053	25	9	2007	23	13	22
147	33163	3	7	2007	16	11	52
147	35908	3	7	2007	16	12	1
147	38536	3	7	2007	16	12	33
147	38853	3	7	2007	16	11	53
147	44414	3	7	2007	16	12	9
147	45368	11	10	2006	18	24	32
147	47658	29	2	2008	20	29	39
147	50538	25	9	2007	23	12	49
147	54173	25	9	2007	23	13	17
147	55826	9	2	2008	12	16	37
147	56555	3	11	2006	19	45	53
147	56742	28	9	2006	14	21	44
147	60219	25	9	2007	23	13	24
147	70781	11	10	2006	18	25	2
147	72740	3	7	2007	16	11	53
147	73561	25	9	2007	23	13	17
147	75061	25	9	2007	23	13	17
147	78003	28	9	2006	14	56	22
147	85755	17	8	2007	3	35	31
147	87453	4	12	2007	20	22	46
147	87499	3	7	2007	16	11	58
147	88108	28	9	2006	14	21	44
147	88649	11	10	2007	21	22	57
147	89560	3	7	2007	16	11	57
147	90178	4	12	2007	5	2	15
147	90442	25	9	2007	23	12	50
147	91138	28	9	2006	14	21	35
147	93282	3	7	2007	16	11	53
147	94771	11	10	2006	18	24	37
147	99246	11	10	2006	19	4	10
147	105832	11	10	2006	18	24	39
233	2716	17	5	2007	17	17	45
242	6704	12	7	2010	20	16	11
242	45650	13	7	2007	5	50	2
259	11568	4	10	2007	15	31	32
302	8232	13	10	2006	4	27	6
302	28061	27	2	2007	8	34	24
319	22091	15	9	2007	23	4	27
319	57151	19	9	2006	20	9	45
319	59208	17	8	2006	0	49	39
319	89224	4	5	2006	16	18	55
319	96577	23	9	2007	2	33	31
336	29658	21	1	2010	11	26	12
372	5584	2	8	2009	16	7	26
372	41072	27	9	2007	21	37	10
372	65754	3	6	2008	16	21	37
372	93030	9	8	2009	19	24	13
427	21127	30	6	2009	14	2	54
485	27229	13	6	2006	21	28	28
485	44046	11	5	2006	19	16	49
485	49978	19	10	2006	20	59	29
485	84972	24	5	2006	6	0	43
485	89549	30	7	2006	3	5	18
485	95152	7	8	2006	21	27	56
485	97386	11	10	2006	4	0	31
521	78592	26	6	2008	7	24	44
521	79054	28	4	2009	5	18	44
538	16972	21	1	2009	19	33	19
620	71735	22	7	2010	20	39	23
620	73515	22	6	2008	20	57	38
788	1263	27	2	2010	12	14	5
788	1423	28	1	2009	22	35	5
788	10680	26	8	2010	5	41	9
788	17308	9	9	2009	16	12	6
788	17711	16	3	2009	19	55	23
788	19812	23	4	2009	1	38	52
788	21566	15	5	2009	3	10	41
788	25795	23	6	2010	20	39	12
788	28115	11	7	2009	3	10	37
788	30669	29	8	2009	12	39	32
788	31272	1	9	2009	4	28	32
788	31503	3	4	2009	1	12	14
788	31994	7	6	2009	20	47	23
788	37851	19	3	2009	15	41	36
788	40001	13	5	2010	2	52	40
788	41461	24	4	2009	3	27	19
788	41911	1	10	2009	2	4	43
788	42525	24	1	2010	6	33	28
788	44166	23	6	2010	3	12	36
788	49031	4	4	2009	1	4	19
788	49329	15	3	2010	4	57	44
788	51379	28	5	2009	14	4	17
788	51985	15	9	2009	14	30	34
788	52177	25	1	2009	16	49	7
788	52355	7	7	2010	18	22	41
788	54005	16	5	2009	14	45	10
788	55395	14	2	2010	2	3	1
788	59979	20	3	2009	2	16	59
788	60349	6	6	2009	21	43	58
788	60597	18	1	2010	20	5	26
788	61823	19	3	2009	9	45	25
788	63285	14	9	2009	19	33	16
788	64432	10	9	2010	7	30	30
788	64555	19	12	2009	2	36	42
788	71664	22	12	2009	7	29	55
788	76566	24	2	2009	21	6	40
788	78108	4	8	2009	17	9	45
788	80417	21	3	2009	21	56	56
788	83503	19	12	2009	22	51	41
788	92968	7	12	2009	23	17	21
788	93594	26	4	2009	3	29	1
788	96951	1	6	2009	19	6	11
788	100668	3	8	2009	20	22	39
788	100884	19	3	2009	23	55	21
788	101946	3	6	2010	15	46	48
788	102218	1	3	2009	16	39	37
788	102248	17	12	2009	16	46	31
788	102824	14	4	2009	2	40	18
788	106833	17	3	2010	8	1	35
819	45897	11	4	2008	13	39	38
819	80924	11	9	2007	22	24	43
913	17855	8	3	2010	20	10	37
934	2300	25	9	2010	14	0	18
934	30201	29	9	2010	1	11	20
934	35259	27	9	2010	19	49	32
934	49058	29	9	2010	2	56	21
934	49408	2	10	2010	0	13	59
934	53002	25	9	2010	17	6	33
934	57359	21	9	2010	2	16	40
934	72005	28	9	2010	4	41	25
934	75998	27	9	2010	14	32	25
934	79828	22	9	2010	3	50	36
934	104426	20	9	2010	21	57	7
970	26954	21	1	2008	17	53	18
970	39694	21	1	2008	23	47	34
970	41610	21	1	2008	11	4	53
970	54333	5	7	2006	4	41	30
970	63930	4	5	2006	16	18	55
970	76601	18	12	2006	21	49	25
1016	40625	10	11	2007	15	8	5
1016	66073	7	2	2008	19	26	56
1016	83675	2	5	2008	18	52	56
1016	87923	13	7	2006	21	30	40
1016	92302	28	7	2007	17	5	11
1033	71493	5	5	2009	21	14	54
1049	10192	22	2	2007	19	54	12
1049	92465	24	9	2007	16	21	35
1094	102129	15	7	2009	19	46	16
1103	33703	4	5	2006	16	18	55
1103	52867	4	5	2006	16	18	55
1103	66759	28	11	2007	13	39	4
1103	87652	1	4	2008	18	21	21
1113	5424	10	3	2007	23	24	46
1113	75182	8	11	2006	13	8	39
1113	96703	3	11	2006	12	46	36
1149	12708	30	10	2006	8	37	41
1149	50255	8	3	2007	7	47	52
1263	788	26	2	2010	2	31	23
1263	9145	25	8	2010	10	23	0
1263	12299	13	7	2009	17	34	28
1263	19812	3	1	2009	10	27	53
1263	21779	21	8	2010	21	41	37
1263	23849	31	3	2009	11	49	34
1263	32598	4	11	2009	18	51	28
1263	40523	5	6	2008	18	13	46
1263	41461	24	8	2010	22	53	58
1263	42525	14	2	2010	6	2	58
1263	44166	15	12	2008	1	21	52
1263	44871	30	11	2009	13	30	39
1263	45276	15	12	2008	1	51	45
1263	47252	4	5	2010	0	44	25
1263	49031	19	10	2009	2	21	13
1263	49268	10	12	2008	10	31	26
1263	51379	28	10	2008	22	12	57
1263	52177	1	12	2008	12	47	49
1263	53624	31	10	2008	18	47	5
1263	58464	6	6	2010	17	2	5
1263	59979	3	1	2009	14	15	6
1263	60597	2	9	2009	9	41	40
1263	61937	9	6	2008	16	54	51
1263	62346	10	12	2008	1	36	17
1263	75445	12	2	2009	5	13	31
1263	80743	27	6	2008	9	6	36
1263	81173	3	1	2009	1	50	24
1263	82073	25	1	2009	20	52	30
1263	84229	22	5	2008	21	40	31
1263	86268	24	11	2008	22	59	46
1263	92419	12	8	2008	20	42	11
1263	94282	2	8	2009	9	48	35
1263	100668	1	3	2008	20	44	1
1263	100884	14	12	2008	23	39	17
1263	101063	9	10	2008	17	29	38
1263	101198	17	11	2008	17	48	15
1263	101946	16	12	2008	16	23	16
1263	102185	21	6	2010	19	30	42
1296	22563	27	5	2007	6	26	12
1320	65423	2	2	2007	16	2	25
1320	75324	15	5	2008	14	31	17
1328	9766	18	4	2009	6	59	23
1328	12417	18	5	2007	2	9	7
1328	98097	15	3	2009	7	25	1
1352	102362	15	6	2006	10	4	21
1423	788	12	1	2009	21	7	46
1423	19812	15	9	2008	3	56	3
1423	23849	14	3	2008	17	30	32
1423	28115	19	5	2009	16	30	55
1423	30669	8	7	2008	17	56	12
1423	30712	24	9	2007	23	32	17
1423	31272	18	8	2009	1	39	23
1423	31994	12	7	2008	23	52	47
1423	35010	27	6	2008	6	23	3
1423	37851	12	2	2009	1	32	10
1423	41461	8	4	2009	8	45	33
1423	41911	18	7	2008	17	38	14
1423	44166	22	2	2008	3	23	37
1423	44712	15	9	2008	2	39	35
1423	49031	7	2	2007	4	23	55
1423	49329	3	8	2009	1	50	59
1423	49394	11	5	2009	4	12	4
1423	51985	11	9	2008	16	41	27
1423	52177	27	4	2007	2	52	36
1423	53624	21	2	2008	7	26	0
1423	59979	10	6	2008	21	47	47
1423	60597	9	10	2009	18	11	21
1423	61823	1	3	2008	23	22	55
1423	63285	12	8	2009	6	45	52
1423	64555	9	10	2009	23	24	14
1423	64649	9	9	2007	13	56	44
1423	66713	14	8	2009	14	29	46
1423	68174	1	7	2008	5	15	11
1423	70831	19	11	2008	21	8	25
1423	76566	24	11	2008	9	54	12
1423	78108	31	3	2008	19	57	53
1423	78257	27	9	2009	18	2	8
1423	80743	6	3	2008	5	28	16
1423	81173	28	7	2008	21	53	13
1423	82073	25	1	2009	6	44	58
1423	89990	25	1	2008	3	30	16
1423	92968	14	3	2008	2	42	45
1423	96951	13	7	2008	13	4	44
1423	101946	14	5	2007	18	0	12
1423	102248	4	8	2008	20	39	38
1423	104274	17	11	2008	14	31	23
1423	107636	26	8	2008	0	37	28
1455	3646	23	6	2010	18	11	13
1455	9307	28	2	2010	13	48	38
1455	17430	7	8	2010	13	46	45
1476	75490	20	4	2007	2	9	50
1476	104398	12	8	2007	20	45	44
1505	19634	27	6	2007	16	2	55
1505	54473	27	6	2007	16	4	58
1505	62398	27	6	2007	16	6	38
1505	104768	27	6	2007	16	2	47
1557	2570	5	5	2008	13	51	58
1557	12804	16	4	2008	12	34	37
1557	28153	24	3	2008	1	14	5
1557	34807	9	4	2008	16	53	19
1557	38984	29	7	2008	16	58	7
1557	41379	15	3	2008	4	49	36
1557	51543	22	6	2008	20	2	18
1557	53806	18	4	2008	12	33	31
1557	68017	22	5	2008	17	58	54
1557	84365	26	5	2008	20	56	52
1557	87302	31	1	2008	17	26	32
1557	88649	1	3	2008	19	23	43
1557	89391	27	3	2008	21	38	4
1557	107005	17	6	2008	19	31	38
1557	107361	31	1	2008	0	44	5
1701	41379	21	11	2006	3	33	26
1701	87652	4	5	2006	16	18	55
1701	97386	24	12	2008	4	29	40
1701	105661	16	2	2008	23	40	13
1751	18588	23	6	2007	14	10	52
1751	35374	14	11	2007	22	47	35
1751	42074	27	2	2008	3	23	43
1751	45573	11	11	2006	14	27	6
